MARIS sample ID,Sample type,Laboratory,Latitude (decimal),Longitude (decimal),Station ID,Data provider's sample ID,MARIS Profile ID,MARIS Transect ID,Sampling depth (m),Total depth (m),Sampling start datetime,Sampling end datetime,Nuclide,Value type,Activity or MDA,Uncertainty,Unit,Variable type,Number of data points,Minimum value,Maximum value,Taxon name,Reported taxon name,Taxon rank,Biogroup,Taxon database URL,Body part,Top of core interval (cm),Bottom of core interval (cm),Sediment type,Reported sediment type,Sample volume (L),Salinity,Temperature [°C],Filtered,Mesh size (µm),Sample surface area (cm2),Dry weight (g),Wet weight (g),Dry/Wet (%),Sampling method,Preparation method,Drying method,Counting method,MARIS reference ID,Reference/Citation,Zotero URL,Reference note,Sample note,Measurement note
66807,"Seawater","Laboratory of Ion Beam Physics",65,6,"99","12735","","",0,,"1979-09-01 00:00:00","","137Cs","=",35,,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Kautsky, H.. Unknown latitude and longitude seconds values set to zero.",""
60664,"Seawater","Laboratory of Ion Beam Physics",70,2.4833333333333334,"145","6318","","",149,3222,"1981-07-28 00:00:00","","137Cs","=",8.3025324,0.0512502,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Casso Cruise: KN89. Unknown latitude and longitude seconds values set to zero.",""
331192,"Seawater","Federal Maritime and Hydrographic Agency, Hamburg",62.49916666666667,-0.004722222222222222,"59","2015330","","",0,,"2015-08-24 00:00:00","","137Cs","=",1.254,0.11726154,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",191,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018. OSPAR Environmental Monitoring of Radioactive Substances.","https://www.zotero.org/groups/2432820/maris/items/LQRA4MMK","","Updated: 2019-03-26T10:20:22.180. OSPAR ID: 88229; ","Updated: 2019-03-26T10:20:22.180. "
331292,"Seawater","Federal Maritime and Hydrographic Agency, Hamburg",64.5,7.996666666666667,"25","1995133","","",0,,"1995-06-23 00:00:00","","137Cs","=",4.614,0.24454199999999998,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",191,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018. OSPAR Environmental Monitoring of Radioactive Substances.","https://www.zotero.org/groups/2432820/maris/items/LQRA4MMK","","Updated: 2019-03-26T10:20:22.230. OSPAR ID: 47445; ","Updated: 2019-03-26T10:20:22.233. "
60948,"Seawater","Laboratory of Ion Beam Physics",73,10,"103","6665","","",100,,"1981-07-15 00:00:00","","137Cs","=",9.054202,,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Casso Cruise: CIR. Unknown latitude and longitude seconds values set to zero.",""
62685,"Seawater","Laboratory of Ion Beam Physics",61.5,3,"315","8446","","",350,,"1984-06-01 00:00:00","","137Cs","=",11,,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Kautsky, H.. Unknown latitude and longitude seconds values set to zero.",""
60670,"Seawater","Laboratory of Ion Beam Physics",70,2.4833333333333334,"145","6324","","",1437,3222,"1981-07-28 00:00:00","","137Cs","=",1.7425068,0.0341668,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Casso Cruise: KN89. Unknown latitude and longitude seconds values set to zero.",""
60872,"Seawater","Laboratory of Ion Beam Physics",77,30,"65","6571","","",3,,"1981-07-15 00:00:00","","137Cs","=",16.400064,,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",99,"Aoyama, M., Hirose, K., 2004. HAM 2008 - Historical Artificial Radionuclides in the Pacific Ocean and its Marginal Seas. The Scientific World JOURL 4, 200–215. https://doi.org/10.1100/tsw.2004.15","https://www.zotero.org/groups/2432820/maris/items/8ANGNEN5","","Author: Casso Cruise: CIR. Unknown latitude and longitude seconds values set to zero.",""
331286,"Seawater","Institute of Marine Research",64.40305555555557,7.863888888888889,"CTD 362 (Ã¸st for Draugen)","","","",0,,"2014-06-12 00:00:00","","137Cs","=",2.2781887064766404,0.197296929442358,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",191,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018. OSPAR Environmental Monitoring of Radioactive Substances.","https://www.zotero.org/groups/2432820/maris/items/LQRA4MMK","","Updated: 2019-03-26T10:20:22.230. OSPAR ID: 85466; ","Updated: 2019-03-26T10:20:22.230. "
331143,"Seawater","Federal Maritime and Hydrographic Agency, Hamburg",61.75111111111111,-1.5069444444444444,"62","2012301","","",0,,"2012-08-24 00:00:00","","137Cs","=",1.5,0.0855,"Bq/m3","",,,,"","","","","","",,,"","",,,,"","",,,,,"","","","",191,"OSPAR Comission’s Radioactive Substances Committee (RSC), 2018. OSPAR Environmental Monitoring of Radioactive Substances.","https://www.zotero.org/groups/2432820/maris/items/LQRA4MMK","","Updated: 2019-03-26T10:20:22.150. OSPAR ID: 87384; ","Updated: 2019-03-26T10:20:22.153. "
